V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,-5,20,14,31,5,7,1,91.55635833740234,114.112060546875,1.9048106670379639
-98,12,0,29,10,13,6,7,1,111.92591857910156,125.5708236694336,178.9716796875
-98,12,-5,32,12,7,7,7,1,123.32304382324219,124.88565826416016,106.20427703857422
-98,12,-5,20,13,10,6,6,1,88.32396697998047,116.14376831054688,2.0340347290039062
-98,12,0,35,10,13,7,5,1,110.50122833251953,125.68059539794922,92.27348327636719
-98,12,-5,32,10,10,7,7,2,122.68679809570312,126.59963989257812,100.00569152832031
-98,12,-5,35,13,7,5,7,1,110.8641128540039,124.09795379638672,94.25308227539062
-98,12,0,29,11,4,5,7,1,112.24182891845703,125.13997650146484,0.5005918145179749
-98,12,-5,29,10,1,6,7,2,98.07876586914062,126.2860336303711,0.6183631420135498
-98,12,0,35,12,7,5,7,1,110.68085479736328,125.27095794677734,92.65907287597656
-98,12,0,23,13,1,7,6,1,76.2264633178711,138.519287109375,1.831497073173523
-98,12,-5,23,10,28,7,5,1,85.87435150146484,129.12548828125,1.8638464212417603
-98,12,0,32,11,16,5,6,1,123.67582702636719,126.57196807861328,97.4513931274414
-98,12,-5,35,14,31,7,7,1,111.11404418945312,122.22168731689453,93.81136322021484
-98,12,-10,20,10,1,7,6,1,91.75797271728516,111.28872680664062,1.8064576387405396
-98,12,0,35,12,16,7,5,1,110.54154968261719,124.36328125,92.57984924316406
-98,12,-5,32,13,28,6,5,1,124.11714172363281,124.93836975097656,127.50836944580078
-98,12,-5,29,11,28,6,5,2,111.88145446777344,124.9847412109375,179.11660766601562
-98,12,0,35,15,19,7,6,1,110.64575958251953,124.49597930908203,92.82567596435547
-98,12,0,29,14,16,5,5,2,112.16724395751953,124.55156707763672,179.810302734375
-98,12,0,26,13,19,6,6,2,100.74296569824219,126.44457244873047,0.8980929851531982
-98,12,-5,26,14,25,6,6,1,99.14595794677734,110.83270263671875,95.5632095336914
-98,12,0,32,13,19,7,5,1,123.99056243896484,125.07591247558594,108.87504577636719
-98,12,-5,20,11,13,7,7,1,98.2127685546875,107.17367553710938,179.4788055419922
-98,12,-5,29,14,19,6,6,2,112.58456420898438,124.23863983154297,178.60968017578125
